7907f249-87a4-4599-9bfa-7b6a74664428
User1,User2,
"AHHHHHHHHHHHHHHHHH im gonna kms","User1","7907f249-87a4-4599-9bfa-7b6a74664428",2024-04-29T18:57:43.887456700
"AHHHHHHHHHHHHHHHHH im gonna kms","User2","7907f249-87a4-4599-9bfa-7b6a74664428",2024-04-29T18:57:43.887456700
"Hello, my name is BiG BOi!","User2","7907f249-87a4-4599-9bfa-7b6a74664428",2024-04-29T18:57:43.887456700
"How are you?","User2","7907f249-87a4-4599-9bfa-7b6a74664428",2024-04-29T18:57:43.887456700
"I'm feeling hungry.","User2","7907f249-87a4-4599-9bfa-7b6a74664428",2024-04-29T18:57:43.887456700
"How are you?","User2","7907f249-87a4-4599-9bfa-7b6a74664428",2024-04-29T18:57:43.887456700
"lol Just kidding this is sosososoosososososos much fun :^)","User1","7907f249-87a4-4599-9bfa-7b6a74664428",2024-04-29T18:57:43.888932500
"Let's meet tomorrow.","User2","7907f249-87a4-4599-9bfa-7b6a74664428",2024-04-29T18:57:43.888932500
"This is a random message.","User1","7907f249-87a4-4599-9bfa-7b6a74664428",2024-04-29T18:57:43.888932500
"Did you watch the game last night?","User1","7907f249-87a4-4599-9bfa-7b6a74664428",2024-04-29T18:57:43.888932500
"Did you watch the game last night?","User2","7907f249-87a4-4599-9bfa-7b6a74664428",2024-04-29T18:57:43.888932500
"I'll be late today.","User1","7907f249-87a4-4599-9bfa-7b6a74664428",2024-04-29T18:57:43.888932500
"AHHHHHHHHHHHHHHHHH im gonna kms","User1","7907f249-87a4-4599-9bfa-7b6a74664428",2024-04-29T18:57:43.888932500
"This is a random message.","User2","7907f249-87a4-4599-9bfa-7b6a74664428",2024-04-29T18:57:43.888932500
"Let's meet tomorrow.","User1","7907f249-87a4-4599-9bfa-7b6a74664428",2024-04-29T18:57:43.888932500
"AHHHHHHHHHHHHHHHHH im gonna kms","User1","7907f249-87a4-4599-9bfa-7b6a74664428",2024-04-29T18:57:43.888932500
"AHHHHHHHHHHHHHHHHH im gonna kms","User2","7907f249-87a4-4599-9bfa-7b6a74664428",2024-04-29T18:57:43.888932500
"What's up?","User1","7907f249-87a4-4599-9bfa-7b6a74664428",2024-04-29T18:57:43.888932500
"Can you send me the report?","User1","7907f249-87a4-4599-9bfa-7b6a74664428",2024-04-29T18:57:43.888932500
"This is a random message.","User2","7907f249-87a4-4599-9bfa-7b6a74664428",2024-04-29T18:57:43.888932500
