c397282c-3699-4526-a83d-29740225995b
dyu4,csan,
"Can you send me the report?","dyu4","c397282c-3699-4526-a83d-29740225995b",2024-04-29T18:57:43.884147600
"How are you?","csan","c397282c-3699-4526-a83d-29740225995b",2024-04-29T18:57:43.887456700
"Let's meet tomorrow.","dyu4","c397282c-3699-4526-a83d-29740225995b",2024-04-29T18:57:43.887456700
"Can you send me the report?","csan","c397282c-3699-4526-a83d-29740225995b",2024-04-29T18:57:43.887456700
"How are you?","dyu4","c397282c-3699-4526-a83d-29740225995b",2024-04-29T18:57:43.887456700
"lol Just kidding this is sosososoosososososos much fun :^)","dyu4","c397282c-3699-4526-a83d-29740225995b",2024-04-29T18:57:43.887456700
"I'm feeling hungry.","csan","c397282c-3699-4526-a83d-29740225995b",2024-04-29T18:57:43.887456700
"What's up?","csan","c397282c-3699-4526-a83d-29740225995b",2024-04-29T18:57:43.887456700
"Let's meet tomorrow.","dyu4","c397282c-3699-4526-a83d-29740225995b",2024-04-29T18:57:43.887456700
"Hello, my name is BiG BOi!","csan","c397282c-3699-4526-a83d-29740225995b",2024-04-29T18:57:43.887456700
"This is another random Message","csan","c397282c-3699-4526-a83d-29740225995b",2024-04-29T18:57:43.887456700
"lol Just kidding this is sosososoosososososos much fun :^)","csan","c397282c-3699-4526-a83d-29740225995b",2024-04-29T18:57:43.887456700
"I'm good, thanks!","dyu4","c397282c-3699-4526-a83d-29740225995b",2024-04-29T18:57:43.887456700
"How are you?","csan","c397282c-3699-4526-a83d-29740225995b",2024-04-29T18:57:43.887456700
"Can you send me the report?","dyu4","c397282c-3699-4526-a83d-29740225995b",2024-04-29T18:57:43.887456700
"This is a random message.","csan","c397282c-3699-4526-a83d-29740225995b",2024-04-29T18:57:43.887456700
"This is another random Message","dyu4","c397282c-3699-4526-a83d-29740225995b",2024-04-29T18:57:43.887456700
"This should be the first write to file","dyu4","c397282c-3699-4526-a83d-29740225995b",2024-04-30T00:58:23.529899900
"I hope you did it right bro","csan","c397282c-3699-4526-a83d-29740225995b",2024-04-30T00:58:32.513256900
"yoooooo","csan","c397282c-3699-4526-a83d-29740225995b",2024-04-30T10:05:27.180949400
"fadfafd","dyu4","c397282c-3699-4526-a83d-29740225995b",2024-04-30T10:05:36.417669500
